"","","0","1","2","3","4","5","6","7","8","9","Error","Rate"
"0","0",42,0,0,0,0,2,0,0,0,0,0.0454545454545455,"2/44"
"1","1",0,47,0,0,1,0,0,0,4,0,0.0961538461538462,"5/52"
"2","2",2,1,46,2,0,0,1,0,0,0,0.115384615384615,"6/52"
"3","3",0,0,0,42,1,1,0,1,0,0,0.0666666666666667,"3/45"
"4","4",0,0,0,0,50,0,0,2,0,2,0.0740740740740741,"4/54"
"5","5",1,0,0,2,1,43,0,1,6,1,0.218181818181818,"12/55"
"6","6",1,0,0,1,1,0,48,0,0,0,0.0588235294117647,"3/51"
"7","7",1,0,2,0,1,0,0,49,1,3,0.140350877192982,"8/57"
"8","8",0,0,0,1,0,0,0,0,38,0,0.0256410256410256,"1/39"
"9","9",0,0,0,0,0,0,0,1,0,46,0.0212765957446809,"1/47"
"Total","Total",0,0,0,0,0,0,0,0,0,0,0.0907258064516129,"45/496"
