"","model_numbers","hidden","rate","l1","epochs","train_error","test_error","train_mse","test_mse","activation","input_dropout_ratio","mse_errors","mean_per_class_error"
"10",0,"100, 100",0.005,0,7.19580354323044,0,0.0581204819277108,4.8071000611126e-05,0.053054873584441,"Rectifier",0,4.80710006111259e-05,0
"8",1,"100, 100",0.005,0,10.7962197241287,0.0259865134865135,0.0681927710843374,0.0243334353206617,0.0592091981165506,"RectifierWithDropout",0,0.0243334353206617,0.0259865134865135
"9",2,"100, 100",0.005,0,6.93176870915396,0,0.0701606425702811,0.0007161526868646,0.0643127075025037,"Tanh",0,0.0007161526868646,0
"15",3,"100, 100",0.005,0,8.99656839690739,0,0.0521204819277108,0.00019277988623445,0.0465864561765062,"Rectifier",0,0.00019277988623445,0
"4",4,"100, 100",0.005,0,21.5951735316124,0.007998001998002,0.0480722891566265,0.00757619619391866,0.0429782412931423,"RectifierWithDropout",0,0.00757619619391866,0.007998001998002
"7",5,"100, 100",0.005,0,8.11760056026772,0,0.0641285140562249,2.33994294918792e-05,0.0581973317996112,"Tanh",0,2.33994294918792e-05,0
"18",6,"150, 150",0.005,0,7.85029372450098,0,0.048136546184739,6.51841927278363e-05,0.0448511515956545,"Rectifier",0,6.51841927278364e-05,0
"5",7,"150, 150",0.005,0,10.7198374392642,0.014992007992008,0.056144578313253,0.0134880061007184,0.0457404683704587,"RectifierWithDropout",0,0.0134880061007183,0.014992007992008
"3",8,"150, 150",0.005,0,7.02140903494576,0,0.056136546184739,7.77101551653971e-06,0.0505443597590183,"Tanh",0,7.7710155165397e-06,0
"17",9,"150, 150",0.005,0,8.81782183147117,0,0.0521044176706827,0.00019502955888469,0.0473599507107611,"Rectifier",0,0.00019502955888469,0
"6",10,"150, 150",0.005,0,21.4460449113212,0.0015,0.0501285140562249,0.00222849979933534,0.0436180138650917,"RectifierWithDropout",0,0.00222849979933534,0.0015
"13",11,"150, 150",0.005,0,8.63028064031909,0,0.0661767068273092,0.000335915343630502,0.0619592320031215,"Tanh",0,0.000335915343630501,0
"14",12,"100, 100, 100",0.005,0,7.66264995557369,0,0.0541606425702811,0.000226604822537816,0.04546631734361,"Rectifier",0,0.000226604822537816,0
"1",13,"100, 100, 100",0.005,0,10.800479475479,0.0284845154845155,0.0561285140562249,0.0234896093679544,0.0462588285646086,"RectifierWithDropout",0,0.0234896093679545,0.0284845154845155
"12",14,"100, 100, 100",0.005,0,7.99450706607484,0,0.0641606425702811,5.3445021512518e-06,0.0595996801420149,"Tanh",0,5.34450215125181e-06,0
"16",15,"100, 100, 100",0.005,0,8.63772651442033,0,0.0480803212851406,0.000154001959177734,0.0429528575449211,"Rectifier",0,0.000154001959177733,0
"2",16,"100, 100, 100",0.005,0,21.256630517469,0.006495004995005,0.0521124497991968,0.00732576199798881,0.0474725166766023,"RectifierWithDropout",0,0.00732576199798882,0.006495004995005
"11",17,"100, 100, 100",0.005,0,8.82096552072699,0,0.0521124497991968,0.000122601326345557,0.0483110561433861,"Tanh",0,0.000122601326345557,0
